entry_datetime,exit_datetime,action,entry_price,exit_price,profit,bar_len,size,cash,portfolio_value
2024-09-23 04:45:00,2024-09-23 05:15:00,BUY SIDE,63350.77,63672.58,176.22000000000116,2,0,99684.97,99684.97
2024-09-23 06:15:00,2024-09-23 06:30:00,BUY SIDE,63502.8,63529.0,68.19999999999709,1,0,99753.17,99753.17
2024-09-23 06:45:00,2024-09-23 07:30:00,BUY SIDE,63548.5,63512.91,-118.27999999999884,3,0,99634.89,99634.89
2024-09-23 08:15:00,2024-09-23 08:45:00,BUY SIDE,63348.45,63305.9,-65.33999999999651,2,0,99569.55,99569.55
2024-09-23 09:15:00,2024-09-23 09:45:00,BUY SIDE,63193.74,63163.9,120.0,2,0,99689.55,99689.55
2024-09-23 10:00:00,2024-09-23 10:15:00,BUY SIDE,63171.14,63649.2,357.5599999999977,1,0,100047.11,100047.11
2024-09-23 10:30:00,2024-09-23 10:45:00,BUY SIDE,63648.97,63397.3,-412.7300000000032,1,0,99634.38,99634.38
2024-09-23 12:15:00,2024-09-23 13:15:00,BUY SIDE,63501.47,63227.9,-304.1100000000006,4,0,99330.27,99330.27
2024-09-23 13:30:00,2024-09-23 14:00:00,BUY SIDE,63227.9,63400.82,91.09999999999854,2,0,99421.37,99421.37
2024-09-23 14:30:00,2024-09-23 15:30:00,BUY SIDE,63408.29,63343.51,40.31999999999971,4,0,99461.69,99461.69
2024-09-23 15:45:00,2024-09-23 16:15:00,BUY SIDE,63343.5,63323.42,51.76000000000204,2,0,99513.45000000001,99513.45000000001
2024-09-23 16:30:00,2024-09-23 17:00:00,BUY SIDE,63323.42,63367.51,-11.62999999999738,2,0,99501.82,99501.82
2024-09-23 18:00:00,2024-09-23 18:30:00,BUY SIDE,63380.1,63215.0,-79.40000000000146,2,0,99422.42000000001,99422.42000000001
2024-09-23 19:15:00,2024-09-23 19:45:00,BUY SIDE,63368.59,63338.87,-1.1599999999962165,2,0,99421.26000000001,99421.26000000001
2024-09-23 20:00:00,2024-09-23 20:15:00,BUY SIDE,63338.85,63300.0,-92.01000000000204,1,0,99329.25,99329.25
2024-09-23 21:15:00,2024-09-23 21:45:00,BUY SIDE,63158.0,63102.0,-158.41999999999825,2,0,99170.83,99170.83
2024-09-23 22:30:00,2024-09-23 23:45:00,BUY SIDE,62891.28,63117.33,200.0,5,0,99370.83,99370.83
2024-09-24 00:45:00,2024-09-24 01:45:00,BUY SIDE,63015.28,63214.61,112.88999999999942,4,0,99483.72,99483.72
